cmpavr1.o 0x0000: ,.comment,.debug_aranges,.debug_info,.debug_abbrev,.debug_line,.debug_frame,.debug_str,.debug_loc,cmp.c,__tmp_reg__,__zero_reg__,_exit.o,,__vectors,__vector_default,__heap_end JMP 68 __trampolines_start,__trampolines_end,__dtors_end,__init,__ctors_start,__dtors_start,__ctors_end 
cmpavr1.o 0x0000: ,.comment,.debug_aranges,.debug_info,.debug_abbrev,.debug_line,.debug_frame,.debug_str,.debug_loc,cmp.c,__tmp_reg__,__zero_reg__,_exit.o,,__vectors,__vector_default,__heap_end CPU-waitstate
cmpavr1.o 0x0000: ,.comment,.debug_aranges,.debug_info,.debug_abbrev,.debug_line,.debug_frame,.debug_str,.debug_loc,cmp.c,__tmp_reg__,__zero_reg__,_exit.o,,__vectors,__vector_default,__heap_end CPU-waitstate
cmpavr1.o 0x0068: __trampolines_start,__trampolines_end,__dtors_end,__init,__ctors_start,__dtors_start,__ctors_end EOR R1, R1 SREG=[------Z-] 
cmpavr1.o 0x006a: __trampolines_start,__trampolines_end,__dtors_end,__init,__ctors_start,__dtors_start,__ctors_end+0x1 OUT 0x3f, R1 
cmpavr1.o 0x006c: __trampolines_start,__trampolines_end,__dtors_end,__init,__ctors_start,__dtors_start,__ctors_end+0x2 LDI R28, 0xff 
cmpavr1.o 0x006e: __trampolines_start,__trampolines_end,__dtors_end,__init,__ctors_start,__dtors_start,__ctors_end+0x3 LDI R29, 0x08 
cmpavr1.o 0x0070: __trampolines_start,__trampolines_end,__dtors_end,__init,__ctors_start,__dtors_start,__ctors_end+0x4 OUT 0x3e, R29 SP=0x800 
cmpavr1.o 0x0072: __trampolines_start,__trampolines_end,__dtors_end,__init,__ctors_start,__dtors_start,__ctors_end+0x5 OUT 0x3d, R28 SP=0x8ff 
cmpavr1.o 0x0074: __do_copy_data                 LDI R17, 0x01 
cmpavr1.o 0x0082: __do_copy_data+0x7             ST X+, R0 
cmpavr1.o 0x0082: __do_copy_data+0x7             CPU-waitstate
cmpavr1.o 0x0084: __do_copy_data+0x8             CPI R26, 0x12 SREG=[---S-N-C] 
cmpavr1.o 0x0086: __do_copy_data+0x9             CPC R27, R17 SREG=[--HS-N-C] 
cmpavr1.o 0x0088: __do_copy_data+0xa             BRNE ->0xfff6 platform_main_end+0x29         
cmpavr1.o 0x0088: __do_copy_data+0xa             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             LPM R0, Z+ FLASH[1e0,.data,g_15.2055,__data_start+0x2] 
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0082: __do_copy_data+0x7             ST X+, R0 
cmpavr1.o 0x0082: __do_copy_data+0x7             CPU-waitstate
cmpavr1.o 0x0084: __do_copy_data+0x8             CPI R26, 0x12 SREG=[---S-N-C] 
cmpavr1.o 0x0086: __do_copy_data+0x9             CPC R27, R17 SREG=[--HS-N-C] 
cmpavr1.o 0x0088: __do_copy_data+0xa             BRNE ->0xfff6 platform_main_end+0x29         
cmpavr1.o 0x0088: __do_copy_data+0xa             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             LPM R0, Z+ FLASH[1e1,.data,g_15.2055,__data_start+0x3] 
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0082: __do_copy_data+0x7             ST X+, R0 
cmpavr1.o 0x0082: __do_copy_data+0x7             CPU-waitstate
cmpavr1.o 0x0084: __do_copy_data+0x8             CPI R26, 0x12 SREG=[---S-N-C] 
cmpavr1.o 0x0086: __do_copy_data+0x9             CPC R27, R17 SREG=[--HS-N-C] 
cmpavr1.o 0x0088: __do_copy_data+0xa             BRNE ->0xfff6 platform_main_end+0x29         
cmpavr1.o 0x0088: __do_copy_data+0xa             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             LPM R0, Z+ FLASH[1e2,.data,g_15.2055,__data_start+0x4] 
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0082: __do_copy_data+0x7             ST X+, R0 
cmpavr1.o 0x0082: __do_copy_data+0x7             CPU-waitstate
cmpavr1.o 0x0084: __do_copy_data+0x8             CPI R26, 0x12 SREG=[---S-N-C] 
cmpavr1.o 0x0086: __do_copy_data+0x9             CPC R27, R17 SREG=[--HS-N-C] 
cmpavr1.o 0x0088: __do_copy_data+0xa             BRNE ->0xfff6 platform_main_end+0x29         
cmpavr1.o 0x0088: __do_copy_data+0xa             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             LPM R0, Z+ FLASH[1e3,.data,g_15.2055,__data_start+0x5] 
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0082: __do_copy_data+0x7             ST X+, R0 
cmpavr1.o 0x0082: __do_copy_data+0x7             CPU-waitstate
cmpavr1.o 0x0084: __do_copy_data+0x8             CPI R26, 0x12 SREG=[---S-N-C] 
cmpavr1.o 0x0086: __do_copy_data+0x9             CPC R27, R17 SREG=[--HS-N-C] 
cmpavr1.o 0x0088: __do_copy_data+0xa             BRNE ->0xfff6 platform_main_end+0x29         
cmpavr1.o 0x0088: __do_copy_data+0xa             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             LPM R0, Z+ FLASH[1e4,.data,g_15.2055,__data_start+0x6] 
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0082: __do_copy_data+0x7             ST X+, R0 
cmpavr1.o 0x0082: __do_copy_data+0x7             CPU-waitstate
cmpavr1.o 0x0084: __do_copy_data+0x8             CPI R26, 0x12 SREG=[---S-N-C] 
cmpavr1.o 0x0086: __do_copy_data+0x9             CPC R27, R17 SREG=[--HS-N-C] 
cmpavr1.o 0x0088: __do_copy_data+0xa             BRNE ->0xfff6 platform_main_end+0x29         
cmpavr1.o 0x0088: __do_copy_data+0xa             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             LPM R0, Z+ FLASH[1e5,.data,g_15.2055,__data_start+0x7] 
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0082: __do_copy_data+0x7             ST X+, R0 
cmpavr1.o 0x0082: __do_copy_data+0x7             CPU-waitstate
cmpavr1.o 0x0084: __do_copy_data+0x8             CPI R26, 0x12 SREG=[---S-N-C] 
cmpavr1.o 0x0086: __do_copy_data+0x9             CPC R27, R17 SREG=[--HS-N-C] 
cmpavr1.o 0x0088: __do_copy_data+0xa             BRNE ->0xfff6 platform_main_end+0x29         
cmpavr1.o 0x0088: __do_copy_data+0xa             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             LPM R0, Z+ FLASH[1e6,.data,g_15.2055,__data_start+0x8] 
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0082: __do_copy_data+0x7             ST X+, R0 
cmpavr1.o 0x0082: __do_copy_data+0x7             CPU-waitstate
cmpavr1.o 0x0084: __do_copy_data+0x8             CPI R26, 0x12 SREG=[---S-N-C] 
cmpavr1.o 0x0086: __do_copy_data+0x9             CPC R27, R17 SREG=[--HS-N-C] 
cmpavr1.o 0x0088: __do_copy_data+0xa             BRNE ->0xfff6 platform_main_end+0x29         
cmpavr1.o 0x0088: __do_copy_data+0xa             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             LPM R0, Z+ FLASH[1e7,.data,g_15.2055,__data_start+0x9] 
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0082: __do_copy_data+0x7             ST X+, R0 
cmpavr1.o 0x0082: __do_copy_data+0x7             CPU-waitstate
cmpavr1.o 0x0084: __do_copy_data+0x8             CPI R26, 0x12 SREG=[---S-N-C] 
cmpavr1.o 0x0086: __do_copy_data+0x9             CPC R27, R17 SREG=[--HS-N-C] 
cmpavr1.o 0x0088: __do_copy_data+0xa             BRNE ->0xfff6 platform_main_end+0x29         
cmpavr1.o 0x0088: __do_copy_data+0xa             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             LPM R0, Z+ FLASH[1e8,.data,g_15.2055,__data_start+0xa] 
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0082: __do_copy_data+0x7             ST X+, R0 
cmpavr1.o 0x0082: __do_copy_data+0x7             CPU-waitstate
cmpavr1.o 0x0084: __do_copy_data+0x8             CPI R26, 0x12 SREG=[---S-N-C] 
cmpavr1.o 0x0086: __do_copy_data+0x9             CPC R27, R17 SREG=[--HS-N-C] 
cmpavr1.o 0x0088: __do_copy_data+0xa             BRNE ->0xfff6 platform_main_end+0x29         
cmpavr1.o 0x0088: __do_copy_data+0xa             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             LPM R0, Z+ FLASH[1e9,.data,g_15.2055,__data_start+0xb] 
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0082: __do_copy_data+0x7             ST X+, R0 
cmpavr1.o 0x0082: __do_copy_data+0x7             CPU-waitstate
cmpavr1.o 0x0084: __do_copy_data+0x8             CPI R26, 0x12 SREG=[---S-N-C] 
cmpavr1.o 0x0086: __do_copy_data+0x9             CPC R27, R17 SREG=[--HS-N-C] 
cmpavr1.o 0x0088: __do_copy_data+0xa             BRNE ->0xfff6 platform_main_end+0x29         
cmpavr1.o 0x0088: __do_copy_data+0xa             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             LPM R0, Z+ FLASH[1ea,.data,g_15.2055,__data_start+0xc] 
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0082: __do_copy_data+0x7             ST X+, R0 
cmpavr1.o 0x0082: __do_copy_data+0x7             CPU-waitstate
cmpavr1.o 0x0084: __do_copy_data+0x8             CPI R26, 0x12 SREG=[---S-N-C] 
cmpavr1.o 0x0086: __do_copy_data+0x9             CPC R27, R17 SREG=[--HS-N-C] 
cmpavr1.o 0x0088: __do_copy_data+0xa             BRNE ->0xfff6 platform_main_end+0x29         
cmpavr1.o 0x0088: __do_copy_data+0xa             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             LPM R0, Z+ FLASH[1eb,.data,g_15.2055,__data_start+0xd] 
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0082: __do_copy_data+0x7             ST X+, R0 
cmpavr1.o 0x0082: __do_copy_data+0x7             CPU-waitstate
cmpavr1.o 0x0084: __do_copy_data+0x8             CPI R26, 0x12 SREG=[---S-N-C] 
cmpavr1.o 0x0086: __do_copy_data+0x9             CPC R27, R17 SREG=[--HS-N-C] 
cmpavr1.o 0x0088: __do_copy_data+0xa             BRNE ->0xfff6 platform_main_end+0x29         
cmpavr1.o 0x0088: __do_copy_data+0xa             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             LPM R0, Z+ FLASH[1ec,.data,g_15.2055,__data_start+0xe] 
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0082: __do_copy_data+0x7             ST X+, R0 
cmpavr1.o 0x0082: __do_copy_data+0x7             CPU-waitstate
cmpavr1.o 0x0084: __do_copy_data+0x8             CPI R26, 0x12 SREG=[---S-N-C] 
cmpavr1.o 0x0086: __do_copy_data+0x9             CPC R27, R17 SREG=[--HS-N-C] 
cmpavr1.o 0x0088: __do_copy_data+0xa             BRNE ->0xfff6 platform_main_end+0x29         
cmpavr1.o 0x0088: __do_copy_data+0xa             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             LPM R0, Z+ FLASH[1ed,.data,g_15.2055,__data_start+0xf] 
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0082: __do_copy_data+0x7             ST X+, R0 
cmpavr1.o 0x0082: __do_copy_data+0x7             CPU-waitstate
cmpavr1.o 0x0084: __do_copy_data+0x8             CPI R26, 0x12 SREG=[--HS-N-C] 
cmpavr1.o 0x0086: __do_copy_data+0x9             CPC R27, R17 SREG=[--HS-N-C] 
cmpavr1.o 0x0088: __do_copy_data+0xa             BRNE ->0xfff6 platform_main_end+0x29         
cmpavr1.o 0x0088: __do_copy_data+0xa             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             LPM R0, Z+ FLASH[1ee,.data,g_15.2055,__data_start+0x10] 
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0082: __do_copy_data+0x7             ST X+, R0 
cmpavr1.o 0x0082: __do_copy_data+0x7             CPU-waitstate
cmpavr1.o 0x0084: __do_copy_data+0x8             CPI R26, 0x12 SREG=[--HS-N-C] 
cmpavr1.o 0x0086: __do_copy_data+0x9             CPC R27, R17 SREG=[--HS-N-C] 
cmpavr1.o 0x0088: __do_copy_data+0xa             BRNE ->0xfff6 platform_main_end+0x29         
cmpavr1.o 0x0088: __do_copy_data+0xa             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             LPM R0, Z+ FLASH[1ef,.data,g_15.2055,__data_start+0x11] 
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0082: __do_copy_data+0x7             ST X+, R0 
cmpavr1.o 0x0082: __do_copy_data+0x7             CPU-waitstate
cmpavr1.o 0x0084: __do_copy_data+0x8             CPI R26, 0x12 SREG=[------Z-] 
cmpavr1.o 0x0086: __do_copy_data+0x9             CPC R27, R17 SREG=[------Z-] 
cmpavr1.o 0x0088: __do_copy_data+0xa             BRNE ->0xfff6 main+0x4                       
cmpavr1.o 0x008a: __do_copy_data+0xb             CALL 0x108 SP=0x8fe 0x47 SP=0x8fd 0x0 
cmpavr1.o 0x008a: __do_copy_data+0xb             CPU-waitstate
cmpavr1.o 0x008a: __do_copy_data+0xb             CPU-waitstate
cmpavr1.o 0x008a: __do_copy_data+0xb             CPU-waitstate
cmpavr1.o 0x0108: main                           LDI R20, 0x00 
cmpavr1.o 0x010a: main+0x1                       LDI R21, 0x00 
cmpavr1.o 0x010c: main+0x2                       LDI R22, 0x81 
cmpavr1.o 0x010e: main+0x3                       LDI R23, 0xff 
cmpavr1.o 0x0110: main+0x4                       LDI R24, 0xff 
cmpavr1.o 0x0112: main+0x5                       LDI R25, 0xff 
cmpavr1.o 0x0114: main+0x6                       CALL 0xaa SP=0x8fc 0x8c SP=0x8fb 0x0 
cmpavr1.o 0x0114: main+0x6                       CPU-waitstate
cmpavr1.o 0x0114: main+0x6                       CPU-waitstate
cmpavr1.o 0x0114: main+0x6                       CPU-waitstate
cmpavr1.o 0x00aa: platform_main_end              PUSH R16 SP=0x8fa 0x0 
cmpavr1.o 0x00aa: platform_main_end              CPU-waitstate
cmpavr1.o 0x00ac: platform_main_end+0x1          PUSH R17 SP=0x8f9 0x1 
cmpavr1.o 0x00ac: platform_main_end+0x1          CPU-waitstate
cmpavr1.o 0x00ae: platform_main_end+0x2          PUSH R28 SP=0x8f8 0xff 
cmpavr1.o 0x00ae: platform_main_end+0x2          CPU-waitstate
cmpavr1.o 0x00b0: platform_main_end+0x3          PUSH R29 SP=0x8f7 0x8 
cmpavr1.o 0x00b0: platform_main_end+0x3          CPU-waitstate
cmpavr1.o 0x00b2: platform_main_end+0x4          IN R28, 0x3d 
cmpavr1.o 0x00b4: platform_main_end+0x5          IN R29, 0x3e 
cmpavr1.o 0x00b6: platform_main_end+0x6          SBIW R28, 0x11 SREG=[--------] 
cmpavr1.o 0x00b6: platform_main_end+0x6          CPU-waitstate
cmpavr1.o 0x00b8: platform_main_end+0x7          IN R0, 0x3f 
cmpavr1.o 0x00ba: platform_main_end+0x8          CLI SREG=[--------] 
cmpavr1.o 0x00bc: platform_main_end+0x9          OUT 0x3e, R29 SP=0x8f7 
cmpavr1.o 0x00be: platform_main_end+0xa          OUT 0x3f, R0 
cmpavr1.o 0x00c0: platform_main_end+0xb          OUT 0x3d, R28 SP=0x8e6 
cmpavr1.o 0x00c2: platform_main_end+0xc          MOVW R16, R24 
cmpavr1.o 0x00c4: platform_main_end+0xd          EOR R18, R18 SREG=[------Z-] 
cmpavr1.o 0x00c6: platform_main_end+0xe          EOR R19, R19 SREG=[------Z-] 
cmpavr1.o 0x00c8: platform_main_end+0xf          MOVW R24, R16 
cmpavr1.o 0x00ca: platform_main_end+0x10         EOR R24, R22 SREG=[--------] 
cmpavr1.o 0x00cc: platform_main_end+0x11         EOR R25, R23 SREG=[------Z-] 
cmpavr1.o 0x00ce: platform_main_end+0x12         LDI R20, 0x10 
cmpavr1.o 0x00d0: platform_main_end+0x13         MOVW R22, R28 
cmpavr1.o 0x00d2: platform_main_end+0x14         SUBI R22, 0xff SREG=[--HS-N-C] 
cmpavr1.o 0x00d4: platform_main_end+0x15         SBCI R23, 0xff SREG=[--H----C] 
cmpavr1.o 0x00d6: platform_main_end+0x16         CALL 0x170 SP=0x8e5 0x6d SP=0x8e4 0x0 
cmpavr1.o 0x00d6: platform_main_end+0x16         CPU-waitstate
cmpavr1.o 0x00d6: platform_main_end+0x16         CPU-waitstate
cmpavr1.o 0x00d6: platform_main_end+0x16         CPU-waitstate
cmpavr1.o 0x0170: __itoa_ncheck                  EOR R27, R27 SREG=[--H---ZC] 
cmpavr1.o 0x0172: __itoa_ncheck+0x1              CPI R20, 0x0a SREG=[--H-----] 
cmpavr1.o 0x0174: __itoa_ncheck+0x2              BRNE ->0x000c __data_load_end+0x88           
cmpavr1.o 0x0174: __itoa_ncheck+0x2              CPU-waitstate
cmpavr1.o 0x0182: __itoa_ncheck+0x9              JMP 188 __utoa_common                  
cmpavr1.o 0x0182: __itoa_ncheck+0x9              CPU-waitstate
cmpavr1.o 0x0182: __itoa_ncheck+0x9              CPU-waitstate
cmpavr1.o 0x0188: __utoa_common                  MOVW R30, R22 
cmpavr1.o 0x018a: __utoa_common+0x1              EOR R21, R21 SREG=[--H---Z-] 
cmpavr1.o 0x018c: __utoa_common+0x2              EOR R26, R26 SREG=[--H---Z-] 
cmpavr1.o 0x018e: __utoa_common+0x3              ADD R24, R24 SREG=[--H-VN--] 
cmpavr1.o 0x0190: __utoa_common+0x4              ADC R25, R25 SREG=[------Z-] 
cmpavr1.o 0x0192: __utoa_common+0x5              ADC R26, R26 SREG=[------Z-] 
cmpavr1.o 0x0194: __utoa_common+0x6              CP R26, R20 SREG=[---S-N-C] 
cmpavr1.o 0x0196: __utoa_common+0x7              BRCS ->0x0004 __data_load_end+0xa2           
cmpavr1.o 0x0196: __utoa_common+0x7              CPU-waitstate
cmpavr1.o 0x019c: __utoa_common+0xa              SUBI R21, 0x10 SREG=[---S-N-C] 
cmpavr1.o 0x019e: __utoa_common+0xb              BRNE ->0xffee __data_load_end+0x94           
cmpavr1.o 0x019e: __utoa_common+0xb              CPU-waitstate
cmpavr1.o 0x018e: __utoa_common+0x3              ADD R24, R24 SREG=[--HS-N-C] 
cmpavr1.o 0x0190: __utoa_common+0x4              ADC R25, R25 SREG=[--------] 
cmpavr1.o 0x0192: __utoa_common+0x5              ADC R26, R26 SREG=[------Z-] 
cmpavr1.o 0x0194: __utoa_common+0x6              CP R26, R20 SREG=[---S-N-C] 
cmpavr1.o 0x0196: __utoa_common+0x7              BRCS ->0x0004 __data_load_end+0xa2           
cmpavr1.o 0x0196: __utoa_common+0x7              CPU-waitstate
cmpavr1.o 0x019c: __utoa_common+0xa              SUBI R21, 0x10 SREG=[---S-N--] 
cmpavr1.o 0x019e: __utoa_common+0xb              BRNE ->0xffee __data_load_end+0x94           
cmpavr1.o 0x019e: __utoa_common+0xb              CPU-waitstate
cmpavr1.o 0x018e: __utoa_common+0x3              ADD R24, R24 SREG=[--HS-N-C] 
cmpavr1.o 0x0190: __utoa_common+0x4              ADC R25, R25 SREG=[--------] 
cmpavr1.o 0x0192: __utoa_common+0x5              ADC R26, R26 SREG=[------Z-] 
cmpavr1.o 0x0194: __utoa_common+0x6              CP R26, R20 SREG=[---S-N-C] 
cmpavr1.o 0x0196: __utoa_common+0x7              BRCS ->0x0004 __data_load_end+0xa2           
cmpavr1.o 0x0196: __utoa_common+0x7              CPU-waitstate
cmpavr1.o 0x019c: __utoa_common+0xa              SUBI R21, 0x10 SREG=[---S-N--] 
cmpavr1.o 0x019e: __utoa_common+0xb              BRNE ->0xffee __data_load_end+0x94           
cmpavr1.o 0x019e: __utoa_common+0xb              CPU-waitstate
cmpavr1.o 0x018e: __utoa_common+0x3              ADD R24, R24 SREG=[---S-N-C] 
cmpavr1.o 0x0190: __utoa_common+0x4              ADC R25, R25 SREG=[--------] 
cmpavr1.o 0x0192: __utoa_common+0x5              ADC R26, R26 SREG=[------Z-] 
cmpavr1.o 0x0194: __utoa_common+0x6              CP R26, R20 SREG=[---S-N-C] 
cmpavr1.o 0x0196: __utoa_common+0x7              BRCS ->0x0004 __data_load_end+0xa2           
cmpavr1.o 0x0196: __utoa_common+0x7              CPU-waitstate
cmpavr1.o 0x019c: __utoa_common+0xa              SUBI R21, 0x10 SREG=[---S-N--] 
cmpavr1.o 0x019e: __utoa_common+0xb              BRNE ->0xffee __data_load_end+0x94           
cmpavr1.o 0x019e: __utoa_common+0xb              CPU-waitstate
cmpavr1.o 0x018e: __utoa_common+0x3              ADD R24, R24 SREG=[---S-N-C] 
cmpavr1.o 0x0190: __utoa_common+0x4              ADC R25, R25 SREG=[--------] 
cmpavr1.o 0x0192: __utoa_common+0x5              ADC R26, R26 SREG=[------Z-] 
cmpavr1.o 0x0194: __utoa_common+0x6              CP R26, R20 SREG=[---S-N-C] 
cmpavr1.o 0x0196: __utoa_common+0x7              BRCS ->0x0004 __data_load_end+0xa2           
cmpavr1.o 0x0196: __utoa_common+0x7              CPU-waitstate
cmpavr1.o 0x019c: __utoa_common+0xa              SUBI R21, 0x10 SREG=[---S-N--] 
cmpavr1.o 0x019e: __utoa_common+0xb              BRNE ->0xffee __data_load_end+0x94           
cmpavr1.o 0x019e: __utoa_common+0xb              CPU-waitstate
cmpavr1.o 0x018e: __utoa_common+0x3              ADD R24, R24 SREG=[---S-N-C] 
cmpavr1.o 0x0190: __utoa_common+0x4              ADC R25, R25 SREG=[--H-----] 
cmpavr1.o 0x0192: __utoa_common+0x5              ADC R26, R26 SREG=[------Z-] 
cmpavr1.o 0x0194: __utoa_common+0x6              CP R26, R20 SREG=[---S-N-C] 
cmpavr1.o 0x0196: __utoa_common+0x7              BRCS ->0x0004 __data_load_end+0xa2           
cmpavr1.o 0x0196: __utoa_common+0x7              CPU-waitstate
cmpavr1.o 0x019c: __utoa_common+0xa              SUBI R21, 0x10 SREG=[---S-N--] 
cmpavr1.o 0x019e: __utoa_common+0xb              BRNE ->0xffee __data_load_end+0x94           
cmpavr1.o 0x019e: __utoa_common+0xb              CPU-waitstate
cmpavr1.o 0x018e: __utoa_common+0x3              ADD R24, R24 SREG=[---SV-ZC] 
